Company,Industry,City,Careers Site URL,Company_Size,Primary_Source,Indeed_URL,AngelList_URL,Glassdoor_URL,Backup_Strategy,Careers URL,Indeed Search
Choozle,Marketing Technology,Denver,https://choozle.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Choozle""&l=Denver,CO",,https://www.glassdoor.com/Jobs/Choozle-Jobs-E12345.htm,"careers_page,indeed",,
Cin7,E-commerce,,https://www.cin7.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Cin7""&l=nan,CO",,https://www.glassdoor.com/Jobs/Cin7-Jobs-E12345.htm,"careers_page,indeed",,
Clearview AI,Public Safety,,https://www.clearview.ai/careers,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Clearview AI""&l=nan,CO",,https://www.glassdoor.com/Jobs/Clearview-AI-Jobs-E12345.htm,"careers_page,indeed",,
Clinical Ink,Healthcare Technology,,https://clinicalink.com/company/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Clinical Ink""&l=nan,CO",,https://www.glassdoor.com/Jobs/Clinical-Ink-Jobs-E12345.htm,"careers_page,indeed",,
Close,Enterprise Software,,https://close.com/jobs/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Close""&l=nan,CO",,https://www.glassdoor.com/Jobs/Close-Jobs-E12345.htm,"careers_page,indeed",,
Computronix,Software & Services,,https://computronix.com/about-us/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Computronix""&l=nan,CO",,https://www.glassdoor.com/Jobs/Computronix-Jobs-E12345.htm,"careers_page,indeed",,
Comtrac,Public Safety,,,Small,job_boards,"https://www.indeed.com/jobs?q=company:""Comtrac""&l=nan,CO",https://angel.co/company/comtrac/jobs,https://www.glassdoor.com/Jobs/Comtrac-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
Connect for Health Colorado,Insurance Technology,,https://connectforhealthco.com/about-us/employment/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Connect for Health Colorado""&l=nan,CO",,https://www.glassdoor.com/Jobs/Connect-for-Health-Colorado-Jobs-E12345.htm,"careers_page,indeed",,
CQG,Analytics & AI,,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=d941071c-bf35-4bb0-a7bb-4e0480b279fe&ccId=19000101_000001&type=JS&lang=en_US,Small,careers_page,"https://www.indeed.com/jobs?q=company:""CQG""&l=nan,CO",https://angel.co/company/cqg/jobs,https://www.glassdoor.com/Jobs/CQG-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
CrossTrax,Public Safety,,,Medium,job_boards,"https://www.indeed.com/jobs?q=company:""CrossTrax""&l=nan,CO",,https://www.glassdoor.com/Jobs/CrossTrax-Jobs-E12345.htm,"careers_page,indeed",,
D3 Security,Cybersecurity,,https://d3security.com/company/careers/,Small,careers_page,"https://www.indeed.com/jobs?q=company:""D3 Security""&l=nan,CO",https://angel.co/company/d3-security/jobs,https://www.glassdoor.com/Jobs/D3-Security-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
DarkOwl,Public Safety,,https://www.darkowl.com/careers/,Small,careers_page,"https://www.indeed.com/jobs?q=company:""DarkOwl""&l=nan,CO",https://angel.co/company/darkowl/jobs,https://www.glassdoor.com/Jobs/DarkOwl-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
Data Dog,Analytics & AI,,https://www.datadoghq.com/careers,Large,careers_page,"https://www.indeed.com/jobs?q=company:""Data Dog""&l=nan,CO",,https://www.glassdoor.com/Jobs/Data-Dog-Jobs-E12345.htm,careers_page_only,,
Dataiku,Analytics & AI,,https://www.dataiku.com/careers/,Small,careers_page,"https://www.indeed.com/jobs?q=company:""Dataiku""&l=nan,CO",https://angel.co/company/dataiku/jobs,https://www.glassdoor.com/Jobs/Dataiku-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
DataVisor,Cybersecurity,,https://www.datavisor.com/about4/careers/#jobs,Small,careers_page,"https://www.indeed.com/jobs?q=company:""DataVisor""&l=nan,CO",https://angel.co/company/datavisor/jobs,https://www.glassdoor.com/Jobs/DataVisor-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
Documoto,Software & Services,,https://documoto.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Documoto""&l=nan,CO",,https://www.glassdoor.com/Jobs/Documoto-Jobs-E12345.htm,"careers_page,indeed",,
Elastic Suite,E-commerce,,https://www.elastic.co/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Elastic Suite""&l=nan,CO",,https://www.glassdoor.com/Jobs/Elastic-Suite-Jobs-E12345.htm,"careers_page,indeed",,
emite,Other,,https://www.emite.com/careers/,Small,careers_page,"https://www.indeed.com/jobs?q=company:""emite""&l=nan,CO",https://angel.co/company/emite/jobs,https://www.glassdoor.com/Jobs/emite-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
Empower,Fintech,Denver,https://www.empower.me/careers,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Empower""&l=Denver,CO",,https://www.glassdoor.com/Jobs/Empower-Jobs-E12345.htm,"careers_page,indeed",,
Epsilon,Marketing Technology,,https://www.epsilon.com/us/careers,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Epsilon""&l=nan,CO",,https://www.glassdoor.com/Jobs/Epsilon-Jobs-E12345.htm,"careers_page,indeed",,
Equus,Other,,https://equus.bamboohr.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Equus""&l=nan,CO",,https://www.glassdoor.com/Jobs/Equus-Jobs-E12345.htm,"careers_page,indeed",,
EverBridge,Communications,,https://www.everbridge.com/company/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""EverBridge""&l=nan,CO",,https://www.glassdoor.com/Jobs/EverBridge-Jobs-E12345.htm,"careers_page,indeed",,
EverCommerce,Other,Denver,https://www.evercommerce.com/careers,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""EverCommerce""&l=Denver,CO",,https://www.glassdoor.com/Jobs/EverCommerce-Jobs-E12345.htm,"careers_page,indeed",,
EVO Snap,Fintech,Westminster,https://evosnap.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""EVO Snap""&l=Westminster,CO",,https://www.glassdoor.com/Jobs/EVO-Snap-Jobs-E12345.htm,"careers_page,indeed",,
Experian,Analytics & AI,,https://www.experianplc.com/careers/,Large,careers_page,"https://www.indeed.com/jobs?q=company:""Experian""&l=nan,CO",,https://www.glassdoor.com/Jobs/Experian-Jobs-E12345.htm,careers_page_only,,
Exterro,Other,,https://www.exterro.com/company/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Exterro""&l=nan,CO",,https://www.glassdoor.com/Jobs/Exterro-Jobs-E12345.htm,"careers_page,indeed",,
FareHarbor,Other,,https://fareharbor.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""FareHarbor""&l=nan,CO",,https://www.glassdoor.com/Jobs/FareHarbor-Jobs-E12345.htm,"careers_page,indeed",,
Fastly,Cloud Services,,https://www.fastly.com/about/careers,Large,careers_page,"https://www.indeed.com/jobs?q=company:""Fastly""&l=nan,CO",,https://www.glassdoor.com/Jobs/Fastly-Jobs-E12345.htm,careers_page_only,,
Feedzai,Cybersecurity,,https://careers.feedzai.com/,Small,careers_page,"https://www.indeed.com/jobs?q=company:""Feedzai""&l=nan,CO",https://angel.co/company/feedzai/jobs,https://www.glassdoor.com/Jobs/Feedzai-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
FICO,Analytics & AI,,https://www.fico.com/careers,Small,careers_page,"https://www.indeed.com/jobs?q=company:""FICO""&l=nan,CO",https://angel.co/company/fico/jobs,https://www.glassdoor.com/Jobs/FICO-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
Filevine,Software & Services,,https://www.filevine.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Filevine""&l=nan,CO",,https://www.glassdoor.com/Jobs/Filevine-Jobs-E12345.htm,"careers_page,indeed",,
FinFolio,Fintech,,https://www.finfolio.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""FinFolio""&l=nan,CO",,https://www.glassdoor.com/Jobs/FinFolio-Jobs-E12345.htm,"careers_page,indeed",,
